UF,Ano,urban
26,2019,0.4174492373238621
26,2020,0.41764752921010406
26,2021,0.4178395341378363
27,2012,0.37009741359266485
27,2013,0.37091702805417254
27,2014,0.3716882467870658
27,2015,0.3725984246312107
27,2016,0.37344263690906987
27,2017,0.374224004042866
27,2018,0.37401935705214245
27,2019,0.3747561318732158
27,2020,0.3754709398029505
27,2021,0.3761586830021594
28,2012,0.2784168779937343
28,2013,0.2799051037910207
28,2014,0.2810296029778687
28,2015,0.2821051148561016
28,2016,0.28313573389108115
28,2017,0.2841228329332953
28,2018,0.2848337450423736
28,2019,0.285819873528296
28,2020,0.28674387253527867
28,2021,0.2876294540798829
29,2012,0.30035065823107887
29,2013,0.3014632876581754
29,2014,0.3022570317758304
29,2015,0.3030103791707793
29,2016,0.3037013030284424
29,2017,0.3043376538756985
29,2018,0.3056700244122966
29,2019,0.30624227798656684
29,2020,0.32049670496242827
29,2021,0.3213561384622407
31,2012,0.33595393922398276
31,2013,0.33647837681240494
31,2014,0.33692979250555255
31,2015,0.3373565540748497
31,2016,0.33775786329459234
31,2017,0.3381342279489474
31,2018,0.33926817511730384
31,2019,0.3398268233646409
31,2020,0.3402860402732096
31,2021,0.3407227832829401
32,2012,0.42847436898191116
32,2013,0.4832209276219042
32,2014,0.48393469425996943
32,2015,0.4846208985394326
32,2016,0.4852594447941048
32,2017,0.4858042962327045
32,2018,0.48786775108574487
32,2019,0.48864718251153993
32,2020,0.48939482073556145
32,2021,0.4901100350784275
33,2012,0.7517855091053648
33,2013,0.7627670269840656
33,2014,0.7618878071447278
33,2015,0.7610477181181127
33,2016,0.7602598606058814
33,2017,0.7595399497432734
33,2018,0.7709917155984046
33,2019,0.7703910751399526
33,2020,0.7698034381636639
33,2021,0.7692460936330139
35,2012,0.6330323468632261
35,2013,0.637494641139754
35,2014,0.6372694054752069
35,2015,0.6370540288730973
35,2016,0.6413489395761075
35,2017,0.6411478193548684
35,2018,0.6407410353197537
35,2019,0.6405242843770567
35,2020,0.640316096151137
35,2021,0.6401147185332409
41,2012,0.37966515579156446
41,2013,0.38076811337885597
41,2014,0.3816532709986886
41,2015,0.3824945010390559
41,2016,0.38330795394708755
41,2017,0.38392796256690725
41,2018,0.38662616595721694
41,2019,0.3876428781392129
41,2020,0.38862005550133544
41,2021,0.3895540618982531
42,2012,0.23356512617482594
42,2013,0.26476556369412446
42,2014,0.32508887867488573
42,2015,0.32569997316396815
42,2016,0.3262909639792937
42,2017,0.32686135913743447
42,2018,0.32747960778427626
42,2019,0.3280366425356898
42,2020,0.328570195499429
42,2021,0.32908099546049974
43,2012,0.34725065996769167
43,2013,0.3842319489453776
43,2014,0.3845051883267956
43,2015,0.38475949264454073
43,2016,0.38499862667788953
43,2017,0.3852231253579584
43,2018,0.40479460669635
43,2019,0.40525930764045653
