i,t,Sg,Se,Pop,Sg_pc,Se_pc
16,2007,72340.09,1452.37,614440,0.11773336696829632,0.0023637295748974675
16,2008,82509.63,2771.45,613166,0.13456328302612997,0.004519901625334738
16,2009,86003.95,8297.1,626609,0.1372529759387433,0.013241271670212206
16,2010,99396.5,6721.64,655459,0.15164411503999486,0.010254859571689458
16,2011,109515.6,4933.64,684309,0.16003822834421294,0.007209666977929561
16,2012,127984.5,3311.01,698602,0.18320087832557022,0.004739479703751206
16,2013,137899.8,1458.8,734996,0.18761979657032146,0.0019847727062460205
16,2014,154417.4,1176.6,750912,0.2056398086593369,0.0015668946560981846
16,2015,153753.22,2193.0,766679,0.2005444521109878,0.0028603887676589552
16,2016,151537.69,539.0,782295,0.1937091378572022,0.0006889983957458504
16,2017,154728.34,394.31,797722,0.19396273388473678,0.0004942950050268139
16,2018,158010.2,928.48,829494,0.19048986490559305,0.0011193329909559321
16,2019,170073.11,862.15,845731,0.20109598678539628,0.0010194139744197624
16,2020,173347.57,382.68,861773,0.20115224078730712,0.0004440612551101044
16,2021,190356.68,322.83,877613,0.2169027578214999,0.00036785006603138286
16,2022,195870.69,378.23,877613,0.22318572081316024,0.00043097584014822025
16,2023,199283.31,463.9,877613,0.2270742457096693,0.0005285928991480299
17,2006,133259.67,14161.15,1332441,0.10001168532040068,0.010627975272451087
17,2007,157048.59,31757.23,1306477,0.12020769596403151,0.02430753086353606
17,2008,174092.44,55781.19,1280513,0.13595523044279909,0.043561596016596475
17,2009,177626.18,69709.15,1292051,0.1374761367778826,0.053952320767523876
17,2010,217260.88,60459.83,1346472,0.16135566131341758,0.04490240420892525
17,2011,249674.17,37472.85,1400892,0.17822513798351336,0.02674927831695805
17,2012,296202.18,27882.1,1417694,0.20893237891956937,0.019667220147648223
17,2013,312274.29,35772.3,1478164,0.2112582162737017,0.024200494667709405
17,2014,350345.44,35286.18,1496880,0.23405045160600715,0.02357315215648549
17,2015,348183.44,56692.45,1515126,0.2298049403151949,0.03741764711317738
17,2016,363558.29,30666.32,1532902,0.2371699495466768,0.020005401519470913
17,2017,379334.98,16890.64,1550194,0.24470161799103854,0.010895823361463145
17,2018,348974.01,34121.71,1555229,0.22438754035579328,0.021939990830932295
17,2019,365402.2,33215.4,1572866,0.23231616679361117,0.021117755740158412
17,2020,352986.1,38226.92,1590248,0.22196921486459972,0.024038338674219367
17,2021,368813.5,31372.71,1607363,0.22945252565848537,0.019518123784110993
17,2022,396133.55,26815.3,1607363,0.24644933969489155,0.01668279038400162
17,2023,428409.98,31329.99,1607363,0.26652970113160496,0.01949154609133096
21,2006,306351.74,16591.65,6184538,0.04953510512830546,0.002682763045517709
21,2007,327629.24,49095.93,6245038,0.052462329292471875,0.007861590273750135
21,2008,371604.66,107358.4,6305537,0.058933071045336814,0.017026051865209894
21,2009,392331.05,142648.18,6367138,0.06161811633421484,0.02240381471235585
21,2010,522287.34,88457.55,6506450,0.08027224369663949,0.013595363062806908
21,2011,628889.23,35199.52,6645761,0.09463013039439727,0.005296537146009313
21,2012,750762.9,23838.05,6714314,0.11181528001222463,0.003550332915618781
